arch,circuit,script_params,vpr_status,total_runtime,Total_used_logic_block_area,Total_routing_block_area,Min_chan_width,Critical_path_delay,Number_of_CLB_blocks,Number_of_DSP_blocks,Number_of_BRAM_blocks,Unnamed: 12,Total_logic_block_area,Total_used_area,geo_ave_area_arch,geo_ave_delay_arch,area_delay2_model_arch
stratix.xml_6.xml,sha.v,common,success,16.34,3125360.0,1672990.0,106,10.415,112,0,0,,6614720.0,8287710.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,boundtop.v,common,success,4.58,1281770.0,1006310.0,48,3.19613,41,0,1,,2598640.0,3604950.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,mkDelayWorker32B.v,common,success,155.1,22640300.0,13225800.0,50,7.65117,466,0,70,,39924560.0,53150360.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,mkSMAdapter4B.v,common,success,27.28,5089900.0,2975500.0,82,5.30694,138,0,9,,9744900.0,12720400.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,or1200.v,common,success,101.82,6951450.0,8228170.0,144,10.276,193,4,4,,13347560.0,21575730.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,bgm.v,common,success,952.98,57009500.0,31953600.0,140,20.7988,1943,11,0,,118164295.0,150117895.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,stereovision1.v,common,success,438.26,23963900.0,36951000.0,126,5.92229,495,40,0,,41637300.0,78588300.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,mkPktMerge.v,common,success,23.37,4057470.0,2955070.0,44,3.55197,27,0,24,,5846940.0,8802010.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,blob_merge.v,common,success,76.91,11915400.0,6218090.0,112,15.0195,427,0,0,,25218620.0,31436710.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,stereovision2.v,common,success,1593.33,84182800.0,172821000.0,132,14.034,1207,199,0,,132988355.0,305809355.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,diffeq1.v,common,success,39.98,3770880.0,6556870.0,108,18.8479,26,12,0,,5256340.0,11813210.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,stereovision3.v,common,success,1.44,362765.0,99943.0,26,1.99328,13,0,0,,767780.0,867723.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,ch_intrinsics.v,common,success,2.15,1923590.0,415053.0,40,1.78538,64,0,1,,3957020.0,4372073.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,stereovision0.v,common,success,87.39,16045400.0,6542550.0,92,4.47011,575,0,0,,33959500.0,40502050.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,spree.v,common,success,8.31,2363420.0,1672990.0,106,10.2223,46,1,6,,4089905.0,5762895.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,arm_core.v,common,success,314.21,23001100.0,20850800.0,188,21.3485,622,0,41,,43999700.0,64850500.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,LU8PEEng.v,common,success,1249.42,56110900.0,37716200.0,154,85.433,1573,8,74,,108493220.0,146209420.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_6.xml,diffeq2.v,common,success,36.73,3575540.0,6556870.0,108,12.5395,19,12,0,,4842920.0,11399790.0,20711759.83226935,8.746722242810549,1584556292.5842073
stratix.xml_1.xml,sha.v,common,success,21.83,3125360.0,1468940.0,102,10.8213,112,0,0,,6614720.0,8083660.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,boundtop.v,common,success,5.0,1281770.0,1035970.0,58,3.09113,41,0,1,,2598640.0,3634610.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,mkDelayWorker32B.v,common,success,139.74,22640300.0,10649800.0,44,5.98797,466,0,70,,39924560.0,50574360.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,mkSMAdapter4B.v,common,success,22.92,5089900.0,2887350.0,92,4.95809,138,0,9,,9744900.0,12632250.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,or1200.v,common,success,126.65,6951450.0,7065720.0,136,10.901,193,4,4,,13347560.0,20413280.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,bgm.v,common,success,995.76,57009500.0,28168600.0,138,21.2064,1943,11,0,,118164295.0,146332895.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,stereovision1.v,common,success,443.11,23963900.0,31232200.0,120,6.65099,495,40,0,,41637300.0,72869500.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,mkPktMerge.v,common,success,23.22,4057470.0,3042870.0,50,3.13407,27,0,24,,5846940.0,8889810.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,blob_merge.v,common,success,68.33,11915400.0,5622830.0,114,13.5898,427,0,0,,25218620.0,30841450.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,stereovision2.v,common,success,1691.48,84182800.0,157766000.0,134,14.1781,1207,199,0,,132988355.0,290754355.0,19937176.412779126,8.812545536588292,1548340236.6678522
